Date/Time,Electricity:Facility [J](TimeStep),Cooling:Electricity [J](TimeStep),Fans:Electricity [J](TimeStep) 
 07/04  03:15:00,427500.0,0.0,0.0 
 07/04  03:30:00,427500.0,0.0,0.0 
 07/04  03:45:00,427500.0,0.0,0.0 
 07/04  04:00:00,427500.0,0.0,0.0 
 07/04  04:15:00,427500.0,0.0,0.0 
 07/04  04:30:00,427500.0,0.0,0.0 
 07/04  04:45:00,427500.0,0.0,0.0 
 07/04  05:00:00,427500.0,0.0,0.0 
 07/04  05:15:00,427500.0,0.0,0.0 
 07/04  05:30:00,427500.0,0.0,0.0 
 07/04  05:45:00,427500.0,0.0,0.0 
 07/04  06:00:00,427500.0,0.0,0.0 
 07/04  06:15:00,2291276.8996728566,1263369.9596455048,338740.06447950774 
 07/04  06:30:00,2388181.982573885,1368948.9495825323,338740.06447950774 
 07/04  06:45:00,2470651.734084677,1442317.3762507387,338740.06447950774 
 07/04  07:00:00,2549948.5408810987,1514761.0641882601,338740.06447950774 
 07/04  07:15:00,2583779.980086964,1546801.3158398732,338740.06447950774 
 07/04  07:30:00,2617544.9412335223,1577783.391182205,338740.06447950774 
 07/04  07:45:00,2651530.476275931,1608727.9030795186,338740.06447950774 
 07/04  08:00:00,2685466.131961802,1639608.4210845851,338740.06447950774 
 07/04  08:15:00,10280247.843624836,1773501.6940410403,343284.72093776474 
 07/04  08:30:00,10509897.705640746,1986675.389843001,352872.557251304 
 07/04  08:45:00,10700789.07748279,2153608.5300718276,357176.2012507213 
 07/04  09:00:00,10889465.518279588,2315564.8478567465,361311.0159163099 
 07/04  09:15:00,14118533.508536763,2894234.3477792316,414516.5987683276 
 07/04  09:30:00,14543563.457789157,3279857.6137301726,435088.332912375 
 07/04  09:45:00,14768170.486373764,3482954.7080224827,443126.7022235332 
 07/04  10:00:00,14964060.928804155,3660158.6034072135,453194.59515992337 
 07/04  10:15:00,15406154.815574326,3753220.9614545126,458312.9853559884 
 07/04  10:30:00,15485280.215843316,3823845.701288026,461444.12831872405 
 07/04  10:45:00,15585614.402231885,3913043.393480573,467368.4804928566 
 07/04  11:00:00,15688793.471057363,4004648.837513635,473964.7061295461 
 07/04  11:15:00,15230038.32375854,3899119.500664245,452819.4988304113 
 07/04  11:30:00,15294403.40755967,3954785.612894055,455986.2960846782 
 07/04  11:45:00,15330852.705674477,3987508.9529779786,455224.2011095474 
 07/04  12:00:00,15362154.463165732,4015517.6613826,454574.2306807272 
 07/04  12:15:00,13999571.931886725,3701477.5396460933,411066.9855687748 
 07/04  12:30:00,14037542.521206712,3732496.8573947856,408178.42415638344 
 07/04  12:45:00,14129528.196780521,3816353.952911481,408426.468861417 
 07/04  13:00:00,14241372.321804352,3918949.7158437828,410699.0515638272 
 07/04  13:15:00,15406043.624066288,4361796.337129258,455011.723756544 
 07/04  13:30:00,15515447.921049811,4463580.586893893,462747.61229727964 
 07/04  13:45:00,15608266.60388925,4548518.300966273,468350.541005798 
 07/04  14:00:00,15716936.596771521,4647618.066772779,473785.4525090405 
 07/04  14:15:00,16159245.133923272,4843211.5319571085,493461.26358497393 
 07/04  14:30:00,16289087.365987655,4961897.669187436,503016.7909625378 
 07/04  14:45:00,16391238.765764063,5055200.7081651045,510781.73733149574 
 07/04  15:00:00,16494302.515856924,5149396.061142055,519196.9279900244 
 07/04  15:15:00,15945470.152031183,5063823.911695803,504310.7815029619 
 07/04  15:30:00,15981061.881144105,5094381.012599881,508271.3142357204 
 07/04  15:45:00,16019228.8304239,5128218.000594255,511672.7487709037 
 07/04  16:00:00,16047400.158781078,5153385.2611200465,514089.7445580468 
 07/04  16:15:00,14787066.91180105,4833044.232692514,474440.84955511393 
 07/04  16:30:00,14731280.97215747,4780036.229794454,472281.7510676162 
 07/04  16:45:00,14668814.258731842,4723118.354581719,466887.14268352813 
 07/04  17:00:00,14590915.696998585,4652204.810526145,460036.7579335139 
 07/04  17:15:00,14515565.165466001,4582214.923376696,451794.22121546423 
 07/04  17:30:00,14401327.343328994,4476203.429809725,440755.9638516692 
 07/04  17:45:00,14280634.683508921,4363481.389022485,430170.1295241268 
 07/04  18:00:00,14152551.953880118,4243416.261319237,419708.0768834376 
 07/04  18:15:00,9543863.489493974,3296102.0844475827,358119.346042504 
 07/04  18:30:00,9305467.636241611,3059981.484360704,348649.06660661683 
 07/04  18:45:00,9136546.89710907,2897911.663831547,343405.4224508564 
 07/04  19:00:00,9030695.795323048,2797430.708086168,339668.0898715936 
 07/04  19:15:00,6318270.015673511,2784010.255526915,338740.06447950774 
 07/04  19:30:00,6323086.676678428,2786863.189498839,338740.06447950774 
 07/04  19:45:00,6330135.183729847,2792021.449039726,338740.06447950774 
 07/04  20:00:00,6337750.935861846,2797834.846582509,338740.06447950774 
 07/04  20:15:00,1440000.0,0.0,0.0 
 07/04  20:30:00,1440000.0,0.0,0.0 
 07/04  20:45:00,1440000.0,0.0,0.0 
 07/04  21:00:00,1440000.0,0.0,0.0 
 07/04  21:15:00,427500.0,0.0,0.0 
 07/04  21:30:00,427500.0,0.0,0.0 
 07/04  21:45:00,427500.0,0.0,0.0 
 07/04  22:00:00,427500.0,0.0,0.0 
 07/04  22:15:00,427500.0,0.0,0.0 
 07/04  22:30:00,427500.0,0.0,0.0 
 07/04  22:45:00,427500.0,0.0,0.0 
 07/04  23:00:00,427500.0,0.0,0.0 
 07/04  23:15:00,427500.0,0.0,0.0 
 07/04  23:30:00,427500.0,0.0,0.0 
 07/04  23:45:00,427500.0,0.0,0.0 
 07/04  24:00:00,427500.0,0.0,0.0 
 07/05  00:15:00,427500.0,0.0,0.0 
 07/05  00:30:00,427500.0,0.0,0.0 
 07/05  00:45:00,427500.0,0.0,0.0 
 07/05  01:00:00,427500.0,0.0,0.0 
 07/05  01:15:00,427500.0,0.0,0.0 
 07/05  01:30:00,427500.0,0.0,0.0 
 07/05  01:45:00,427500.0,0.0,0.0 
 07/05  02:00:00,427500.0,0.0,0.0 
 07/05  02:15:00,427500.0,0.0,0.0 
 07/05  02:30:00,427500.0,0.0,0.0 
 07/05  02:45:00,427500.0,0.0,0.0 
 07/05  03:00:00,427500.0,0.0,0.0 
 07/05  03:15:00,427500.0,0.0,0.0 
 07/05  03:30:00,427500.0,0.0,0.0 
 07/05  03:45:00,427500.0,0.0,0.0 
 07/05  04:00:00,427500.0,0.0,0.0 
 07/05  04:15:00,427500.0,0.0,0.0 
 07/05  04:30:00,427500.0,0.0,0.0 
 07/05  04:45:00,427500.0,0.0,0.0 
 07/05  05:00:00,427500.0,0.0,0.0 
 07/05  05:15:00,427500.0,0.0,0.0 
 07/05  05:30:00,427500.0,0.0,0.0 
 07/05  05:45:00,427500.0,0.0,0.0 
 07/05  06:00:00,427500.0,0.0,0.0 
 07/05  06:15:00,3386663.2767411554,2224346.753396019,340050.7399741364 
 07/05  06:30:00,3433264.621499265,2267853.9655736377,338740.06447950774 
 07/05  06:45:00,3494552.2092568493,2323963.589244881,338740.06447950774 
 07/05  07:00:00,3591135.133023312,2419866.619216481,341820.7620591655 
 07/05  07:15:00,3666027.4091732157,2489846.3822588767,342769.56939194544 
 07/05  07:30:00,3756566.242473502,2573368.583644545,344925.59114052943 
 07/05  07:45:00,3844560.471096577,2656452.8728852062,347213.21686631296 
 07/05  08:00:00,3916647.2434472106,2724390.9696301403,348242.4876260163 
 07/05  08:15:00,11749838.33342818,3092369.1661798013,377255.1276701212 
 07/05  08:30:00,11925161.62081612,3249394.161433,381976.4228719212 
 07/05  08:45:00,12047347.735352987,3355126.371109305,388111.5445407067 
 07/05  09:00:00,12332051.64322516,3618941.7059749067,402883.5090363881 
 07/05  09:15:00,15729875.582597243,4344402.620983971,477783.74317040446 
 07/05  09:30:00,16001785.97117003,4594252.543613631,488897.31652875186 
 07/05  09:45:00,16191864.397714281,4765526.387668912,501528.7594332441 
 07/05  10:00:00,16314362.164829293,4876993.569089128,509462.03358649224 
 07/05  10:15:00,16849460.086906232,5055118.91476502,520732.2088835844 
 07/05  10:30:00,17025984.65051609,5216011.5590683995,528675.39096141 
 07/05  10:45:00,17169131.05747556,5347680.183273796,532223.7724324851 
 07/05  11:00:00,17290884.58440174,5460318.041437704,533683.4915147214 
 07/05  11:15:00,16652051.83116515,5196313.632245531,498720.214305757 
 07/05  11:30:00,16574658.249358656,5125977.221820802,494416.3596152582 
 07/05  11:45:00,16519692.003316255,5076734.437801521,490958.1826580696 
 07/05  12:00:00,16462996.0472084,5025810.220945034,487727.7043674983 
