Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),PLENUM-1:Zone Mean Air Temperature [C](TimeStep),SPACE1-1:Zone Mean Air Temperature [C](TimeStep),SPACE2-1:Zone Mean Air Temperature [C](TimeStep),SPACE3-1:Zone Mean Air Temperature [C](TimeStep),SPACE4-1:Zone Mean Air Temperature [C](TimeStep),SPACE5-1:Zone Mean Air Temperature [C](TimeStep),PLENUM-1:Zone Air Relative Humidity [%](TimeStep),PLENUM-1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),PLENUM-1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),SPACE1-1:Zone Air Relative Humidity [%](TimeStep),SPACE1-1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),SPACE1-1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),SPACE2-1:Zone Air Relative Humidity [%](TimeStep),SPACE2-1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),SPACE2-1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),SPACE3-1:Zone Air Relative Humidity [%](TimeStep),SPACE3-1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),SPACE3-1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),SPACE4-1:Zone Air Relative Humidity [%](TimeStep),SPACE4-1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),SPACE4-1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),SPACE5-1:Zone Air Relative Humidity [%](TimeStep),SPACE5-1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),SPACE5-1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),OCCUPY-1:Schedule Value [](TimeStep),Electricity:Facility [J](TimeStep),Cooling:Electricity [J](TimeStep),Fans:Electricity [J](TimeStep) 
 07/01  06:15:00,16.1,20.380417624993665,21.997844519489128,22.0585927821029,22.048148476034648,22.046018662458902,21.825732722022195,62.9363678531962,0.0,0.0,55.81936156654427,22.2,23.9,52.98180519653016,22.2,23.9,55.82009859241553,22.2,23.9,52.88822642078723,22.2,23.9,60.86796683227621,22.2,23.9,0.0,1975860.5083342053,967223.323953044,338740.06447950774 
 07/01  06:30:00,16.1,20.581049187381822,22.196262936798533,22.194273280313155,22.197897345945442,22.194671097437762,22.19762408703326,61.54984722141255,0.0,0.0,54.61373068471546,22.2,23.9,52.281118420300146,22.2,23.9,54.785437001073426,22.2,23.9,52.160637900032334,22.2,23.9,58.84462851599004,22.2,23.9,0.0,1958055.5890321324,983689.809487778,338740.06447950774 
 07/01  06:45:00,16.1,20.716596218316763,22.202523235719134,22.19960437541094,22.20154076500419,22.199158698048436,22.202219482041667,60.37675649920875,0.0,0.0,53.99227657004906,22.2,23.9,51.99122330707373,22.2,23.9,54.16921071330252,22.2,23.9,51.89408815175991,22.2,23.9,58.039104081084005,22.2,23.9,0.0,1960963.075445423,986237.2518915066,338740.06447950774 
 07/01  07:00:00,16.1,20.806741403509633,22.200734543234862,22.199965976986384,22.200028801681345,22.201401220746824,22.20075993236875,59.45834655671421,0.0,0.0,53.42228952175563,22.2,23.9,51.75254143659361,22.2,23.9,53.5896915686057,22.2,23.9,51.670936727669634,22.2,23.9,57.225265347039986,22.2,23.9,0.0,1958783.6377671342,986369.247920289,338740.06447950774 
 07/01  07:15:00,16.25,20.89311744574488,22.20109716652077,22.20169562374656,22.20003441621112,22.19890876555594,22.201497622123576,58.5979329996999,0.0,0.0,52.92220447975543,22.2,23.9,51.55354645458018,22.2,23.9,53.07818105382312,22.2,23.9,51.503849496378415,22.2,23.9,56.4510727159194,22.2,23.9,0.0,1980794.2568252224,1007501.5532207622,338740.06447950774 
 07/01  07:30:00,16.4,20.98547103652589,22.20089323591049,22.200835940834775,22.199788626097494,22.201662696467,22.200758880843512,57.760392334725616,0.0,0.0,52.52238044196511,22.2,23.9,51.41122343485187,22.2,23.9,52.66389343328516,22.2,23.9,51.36449495108989,22.2,23.9,55.77176868413891,22.2,23.9,0.0,2004877.02547726,1030742.8394954164,338740.06447950774 
 07/01  07:45:00,16.549999999999997,21.081585508409102,22.201212430361277,22.199714095431396,22.199582506846546,22.201310195907205,22.202069794653124,56.966804437315865,0.0,0.0,52.201829353973736,22.2,23.9,51.30164262144162,22.2,23.9,52.32998014697393,22.2,23.9,51.2626838721148,22.2,23.9,55.170478810312964,22.2,23.9,0.0,2030263.2294261097,1054868.3384767256,338740.06447950774 
 07/01  08:00:00,16.7,21.18011413632949,22.19920693832183,22.198710221556677,22.199674181000955,22.200315613571973,22.201927286179284,56.234670550868614,0.0,0.0,51.94957242963375,22.2,23.9,51.21134046541565,22.2,23.9,52.05659878101483,22.2,23.9,51.17940569731244,22.2,23.9,54.6461343103811,22.2,23.9,0.0,2056329.527136526,1079326.8608586872,338740.06447950774 
 07/01  08:15:00,16.825,21.64098946852659,22.30308801521084,22.19986195024194,22.579980397431978,22.199973038113775,22.520978431085794,54.472222345966316,0.0,0.0,52.909770095681225,22.2,23.9,52.55503026912165,22.2,23.9,52.129174835485735,22.2,23.9,52.506628479578886,22.2,23.9,54.70364673461497,22.2,23.9,1.0,9507995.433964314,1090550.8420965571,338740.06447950774 
 07/01  08:30:00,16.95,22.018037215642238,22.459720596991506,22.287502298090793,23.033427638700644,22.2000969302158,22.89512481702272,53.77523437547808,0.0,0.0,54.73413422266219,22.2,23.9,54.33352574744197,22.2,23.9,53.03978782423408,22.2,23.9,54.48755188888731,22.2,23.9,55.768846508227604,22.2,23.9,1.0,9532952.434201969,1107917.8799850384,338740.06447950774 
 07/01  08:45:00,17.075,22.29781812440833,22.64493873397621,22.466963684784478,23.324885319936392,22.19958651713413,23.13492342606211,54.426524294127866,0.0,0.0,56.02229176598556,22.2,23.9,55.05900188412532,22.2,23.9,54.11226902277248,22.2,23.9,55.69053388167409,22.2,23.9,57.131285105545075,22.2,23.9,1.0,9556901.683564225,1121695.9076362334,338740.06447950774 
 07/01  09:00:00,17.2,22.561526862608233,22.836126826410982,22.666597135664222,23.570788149789397,22.253058856204103,23.32558171420625,55.26088295348631,0.0,0.0,56.90501584581664,22.2,23.9,55.263231709412,22.2,23.9,54.981556811008915,22.2,23.9,56.240506085701206,22.2,23.9,58.44043861197182,22.2,23.9,1.0,9577218.740490861,1132820.422851183,338740.06447950774 
 07/01  09:15:00,17.349999999999998,22.85250876656044,23.323447370797744,23.126100856016954,23.89110599509182,22.65532098137475,23.777298925182713,55.58040842644051,0.0,0.0,56.253095183328256,22.2,23.9,54.3383875732368,22.2,23.9,54.789727525831516,22.2,23.9,55.38155854930555,22.2,23.9,58.16425212777764,22.2,23.9,1.0,12258293.912316946,1205496.68457881,344842.456007364 
 07/01  09:30:00,17.5,23.201392063269147,23.765044793220053,23.517933251297578,23.898665144820093,23.011820368002226,23.8963377921593,56.15332565286512,0.0,0.0,56.019482863372104,22.2,23.9,53.864240225721964,22.2,23.9,55.195732038593874,22.2,23.9,54.898819202407,22.2,23.9,58.712793087037625,22.2,23.9,1.0,12448708.89414564,1382989.386541488,357118.5970980484 
 07/01  09:45:00,17.650000000000002,23.497026412301793,23.893390445108853,23.768843618211633,23.898298833740917,23.233019314196873,23.898572553534592,56.46201202449096,0.0,0.0,56.480141965340046,22.2,23.9,53.67437909799112,22.2,23.9,55.241478487618856,22.2,23.9,54.69133123541682,22.2,23.9,59.16034854380269,22.2,23.9,1.0,12625169.78776426,1538788.8581081503,364423.6708536391 
 07/01  10:00:00,17.8,23.751376955496873,23.898050743925634,23.883981027710245,23.898101191018245,23.40644324099393,23.898419592970598,56.28429364940358,0.0,0.0,56.88505118110376,22.2,23.9,53.616001418445514,22.2,23.9,55.00070846327863,22.2,23.9,54.44522453844246,22.2,23.9,59.21964042120857,22.2,23.9,1.0,12766022.257316656,1668806.143225302,372702.7020686985 
 07/01  10:15:00,17.925,24.00442575459141,23.898210692672173,23.89651399707294,23.89801514040738,23.584525743034806,23.89826534847943,55.71821624624283,0.0,0.0,56.905366695584426,22.2,23.9,53.56280396610828,22.2,23.9,54.62492313365118,22.2,23.9,54.07263836237374,22.2,23.9,58.99765986921606,22.2,23.9,1.0,13288286.983777724,1835452.896418541,382954.8631928764 
 07/01  10:30:00,18.05,24.24343723195739,23.898083444744753,23.897949106058686,23.897992307605197,23.761951325428857,23.897740503591677,54.93265047966416,0.0,0.0,56.63494005724941,22.2,23.9,53.336917706880406,22.2,23.9,54.20619388537153,22.2,23.9,53.64786434514925,22.2,23.9,58.646622952485295,22.2,23.9,1.0,13439928.85072927,1971475.7264878217,391189.9294721024 
 07/01  10:45:00,18.175,24.453256765901237,23.898025518220727,23.898108797444817,23.89801898499447,23.88236323656265,23.897685134859252,54.06470016963768,0.0,0.0,56.229410822136515,22.2,23.9,53.040102754135376,22.2,23.9,53.8186781511426,22.2,23.9,53.34719212848205,22.2,23.9,58.26371745446413,22.2,23.9,1.0,13566595.295588072,2084757.7933162162,398226.6019095068 
