Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),PLENUM-1:Zone Mean Air Temperature [C](TimeStep),SPACE1-1:Zone Mean Air Temperature [C](TimeStep),SPACE2-1:Zone Mean Air Temperature [C](TimeStep),SPACE3-1:Zone Mean Air Temperature [C](TimeStep),SPACE4-1:Zone Mean Air Temperature [C](TimeStep),SPACE5-1:Zone Mean Air Temperature [C](TimeStep),PLENUM-1:Zone Air Relative Humidity [%](TimeStep),PLENUM-1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),PLENUM-1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),SPACE1-1:Zone Air Relative Humidity [%](TimeStep),SPACE1-1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),SPACE1-1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),SPACE2-1:Zone Air Relative Humidity [%](TimeStep),SPACE2-1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),SPACE2-1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),SPACE3-1:Zone Air Relative Humidity [%](TimeStep),SPACE3-1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),SPACE3-1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),SPACE4-1:Zone Air Relative Humidity [%](TimeStep),SPACE4-1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),SPACE4-1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),SPACE5-1:Zone Air Relative Humidity [%](TimeStep),SPACE5-1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),SPACE5-1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),OCCUPY-1:Schedule Value [](TimeStep),Electricity:Facility [J](TimeStep),Cooling:Electricity [J](TimeStep),Fans:Electricity [J](TimeStep) 
 07/12  21:15:00,23.749999999999996,25.61771411836142,22.80137536091338,22.620745537816855,22.805419873895744,22.865438841237943,22.644508014998006,46.62783223441602,0.0,0.0,53.4331460445171,18.0,27.0,51.482608229967774,18.0,27.0,53.668512971416064,18.0,27.0,50.55619833481737,18.0,27.0,59.40261037102983,18.0,27.0,0.0,427500.0,0.0,0.0 
 07/12  21:30:00,23.6,25.44608948281433,22.665396880859003,22.523484629923725,22.665147090230477,22.739390782517145,22.497913103195565,47.1188986268306,0.0,0.0,53.89094027119526,18.0,27.0,51.80157199528743,18.0,27.0,54.142427868099865,18.0,27.0,50.95765255199959,18.0,27.0,59.9511165446591,18.0,27.0,0.0,427500.0,0.0,0.0 
 07/12  21:45:00,23.450000000000003,25.281568237383482,22.547156877171,22.439365441340982,22.54361520728366,22.62957238154063,22.364328561165827,47.59324966355113,0.0,0.0,54.29211803177053,18.0,27.0,52.07984477915478,18.0,27.0,54.55638152671939,18.0,27.0,51.31098949161438,18.0,27.0,60.45418231263523,18.0,27.0,0.0,427500.0,0.0,0.0 
 07/12  22:00:00,23.3,25.119885446381616,22.452618290358327,22.3703676657045,22.446935734982024,22.537101127145,22.263279835903372,48.06486788035714,0.0,0.0,54.61791717951061,18.0,27.0,52.31166444367076,18.0,27.0,54.89090993474958,18.0,27.0,51.61265772548823,18.0,27.0,60.84138797981815,18.0,27.0,0.0,427500.0,0.0,0.0 
 07/12  22:15:00,23.3,24.9609587147197,22.37187124127247,22.30596710587912,22.36273002713304,22.451592370332687,22.183985251736,48.52189608902595,0.0,0.0,54.88635284462073,18.0,27.0,52.51683106294708,18.0,27.0,55.17230368091742,18.0,27.0,51.881368152693064,18.0,27.0,61.135361897568565,18.0,27.0,0.0,427500.0,0.0,0.0 
 07/12  22:30:00,23.3,24.806117380471285,22.297467320923694,22.24193347410413,22.283683266726502,22.36889680192373,22.11426113569199,48.972178292420644,0.0,0.0,55.135286173042985,18.0,27.0,52.721878330028524,18.0,27.0,55.43821649727702,18.0,27.0,52.14286169053267,18.0,27.0,61.39550801419878,18.0,27.0,0.0,427500.0,0.0,0.0 
 07/12  22:45:00,23.3,24.656078532664978,22.227557256119834,22.17905905784977,22.208691134837576,22.289637470135222,22.04919048963307,49.4130929636097,0.0,0.0,55.370441716174014,18.0,27.0,52.924141604100804,18.0,27.0,55.69192286798802,18.0,27.0,52.39493100164931,18.0,27.0,61.639545914041584,18.0,27.0,0.0,427500.0,0.0,0.0 
 07/12  23:00:00,23.3,24.511072712337146,22.162344339994917,22.11862895753605,22.138347191117774,22.21484652354507,21.988220946464036,49.843487573558654,0.0,0.0,55.590829197167125,18.0,27.0,53.119374625001136,18.0,27.0,55.93110495595458,18.0,27.0,52.63405213450234,18.0,27.0,61.86920819720355,18.0,27.0,0.0,427500.0,0.0,0.0 
 07/12  23:15:00,23.025000000000002,24.3709828758576,22.095072286060596,22.056655801808112,22.06723991114786,22.140302959357673,21.931559569619733,50.26329718872774,0.0,0.0,55.81919798335876,18.0,27.0,53.320429090645625,18.0,27.0,56.17404515196856,18.0,27.0,52.87359870691175,18.0,27.0,62.08349120620228,18.0,27.0,0.0,427500.0,0.0,0.0 
 07/12  23:30:00,22.75,24.2357919920733,22.025646664358224,21.993435783509835,21.99527023013007,22.066109661784527,21.87892195145735,50.67219956556869,0.0,0.0,56.05597508634004,18.0,27.0,53.526405543522316,18.0,27.0,56.42113473839693,18.0,27.0,53.11323590636088,18.0,27.0,62.28329897151935,18.0,27.0,0.0,427500.0,0.0,0.0 
