datetime_raw,outdoor_c,occupied,facility_j,kwh,cumulative_kwh,demand_kw,SPACE1-1,SPACE2-1,SPACE3-1,SPACE4-1,SPACE5-1,mean_zone_c,heating_sp,cooling_sp,step
 07/01  04:00:00,16.1,False,427500.0,0.11875,1.8999999999999995,0.475,20.340340127171856,20.3819656189982,20.344066570838663,20.38283437877344,20.781113905995834,20.446064120355597,16.7,29.4,16
 07/01  04:15:00,16.1,False,427500.0,0.11875,2.0187499999999994,0.475,20.32546351760512,20.36659480550353,20.32904323638093,20.36735184335105,20.76453899638945,20.430598479846015,16.7,29.4,17
 07/01  04:30:00,16.1,False,427500.0,0.11875,2.1374999999999993,0.475,20.318743199249816,20.363157736518797,20.32687417749608,20.36381743475188,20.748811639644167,20.424280837532148,16.7,29.4,18
 07/01  04:45:00,16.1,False,427500.0,0.11875,2.256249999999999,0.475,20.318842984445897,20.373694959815083,20.342258234531005,20.370391758585026,20.734386078991093,20.42791480327362,16.7,29.4,19
 07/01  05:00:00,16.1,False,427500.0,0.11875,2.374999999999999,0.475,20.32331166956185,20.390690863109164,20.36340336851606,20.38381152271616,20.72179150701731,20.43660178618411,16.7,29.4,20
 07/01  05:15:00,16.1,False,427500.0,0.11875,2.493749999999999,0.475,20.33057608512451,20.41043690533292,20.38481214956764,20.40232612122381,20.711364046783597,20.447903061606496,16.7,29.4,21
 07/01  05:30:00,16.1,False,427500.0,0.11875,2.612499999999999,0.475,20.340684065310004,20.43378165490878,20.40850947004225,20.425455557588336,20.70319039541094,20.46232422865206,16.7,29.4,22
 07/01  05:45:00,16.1,False,427500.0,0.11875,2.731249999999999,0.475,20.363671613339868,20.491111918117724,20.469753845105465,20.46922581591524,20.69724321913048,20.498201282321755,16.7,29.4,23
 07/01  06:00:00,16.1,False,427500.0,0.11875,2.8499999999999988,0.475,20.39959688166442,20.583827006804523,20.567800650963804,20.533928363697807,20.694850955734548,20.55600077177302,16.7,29.4,24
 07/01  06:15:00,16.1,False,1975860.5083342053,0.5488501412039458,3.3988501412039445,2.1954005648157833,21.997844519489128,22.0585927821029,22.048148476034648,22.046018662458906,21.825732722022195,21.995267432421556,22.2,23.9,25
 07/01  06:30:00,16.1,False,1958055.5890321324,0.5439043302867034,3.9427544714906477,2.1756173211468135,22.196262936798533,22.194273280313155,22.19789734594544,22.19467109743776,22.19762408703326,22.19614574950563,22.2,23.9,26
 07/01  06:45:00,16.1,False,1960963.075445423,0.5447119654015063,4.487466436892154,2.1788478616060254,22.20252323571913,22.19960437541094,22.20154076500419,22.19915869804844,22.202219482041667,22.201009311244874,22.2,23.9,27
 07/01  07:00:00,16.1,False,1958783.6377671345,0.5441065660464262,5.03157300293858,2.1764262641857046,22.200734543234866,22.199965976986384,22.200028801681345,22.201401220746824,22.20075993236875,22.200578095003635,22.2,23.9,28
 07/01  07:15:00,16.25,False,1980794.2568252224,0.5502206268958951,5.5817936298344755,2.2008825075835805,22.20109716652077,22.20169562374656,22.20003441621112,22.19890876555594,22.201497622123576,22.200646718831592,22.2,23.9,29
 07/01  07:30:00,16.4,False,2004877.02547726,0.5569102848547943,6.13870391468927,2.2276411394191773,22.20089323591049,22.20083594083477,22.199788626097494,22.201662696467,22.200758880843512,22.200787876030653,22.2,23.9,30
 07/01  07:45:00,16.549999999999997,False,2030263.2294261097,0.5639620081739193,6.702665922863189,2.255848032695677,22.20121243036128,22.1997140954314,22.199582506846543,22.201310195907205,22.202069794653124,22.200777804639912,22.2,23.9,31
