Date/Time,Electricity:Facility [J](TimeStep),Cooling:Electricity [J](TimeStep),Fans:Electricity [J](TimeStep) 
 07/01  17:45:00,10883502.154888967,1239647.041610657,340835.6401857266 
 07/01  18:00:00,10900324.927683463,1254065.779926734,340598.30991927255 
 07/01  18:15:00,7258957.580962237,1214557.1849711011,338740.06447950774 
 07/01  18:30:00,7249395.392389336,1204995.1191880265,338740.06447950774 
 07/01  18:45:00,7242432.3977829255,1198032.214076704,338740.06447950774 
 07/01  19:00:00,7235190.208792239,1190790.1182234543,338740.06447950774 
 07/01  19:15:00,4527554.447916121,1183154.455621968,338740.06447950774 
 07/01  19:30:00,4517267.133196167,1172867.273403404,338740.06447950774 
 07/01  19:45:00,4499766.196195529,1158684.7194239025,338740.06447950774 
 07/01  20:00:00,4477147.535714641,1144215.8088765661,338740.06447950774 
 07/01  20:15:00,1440000.0,0.0,0.0 
 07/01  20:30:00,1440000.0,0.0,0.0 
 07/01  20:45:00,1440000.0,0.0,0.0 
 07/01  21:00:00,1440000.0,0.0,0.0 
 07/01  21:15:00,427500.0,0.0,0.0 
 07/01  21:30:00,427500.0,0.0,0.0 
 07/01  21:45:00,427500.0,0.0,0.0 
 07/01  22:00:00,427500.0,0.0,0.0 
 07/01  22:15:00,427500.0,0.0,0.0 
 07/01  22:30:00,427500.0,0.0,0.0 
 07/01  22:45:00,427500.0,0.0,0.0 
 07/01  23:00:00,427500.0,0.0,0.0 
 07/01  23:15:00,427500.0,0.0,0.0 
 07/01  23:30:00,427500.0,0.0,0.0 
 07/01  23:45:00,427500.0,0.0,0.0 
 07/01  24:00:00,427500.0,0.0,0.0 
 07/02  00:15:00,427500.0,0.0,0.0 
 07/02  00:30:00,427500.0,0.0,0.0 
 07/02  00:45:00,427500.0,0.0,0.0 
 07/02  01:00:00,427500.0,0.0,0.0 
 07/02  01:15:00,427500.0,0.0,0.0 
 07/02  01:30:00,427500.0,0.0,0.0 
 07/02  01:45:00,427500.0,0.0,0.0 
 07/02  02:00:00,427500.0,0.0,0.0 
 07/02  02:15:00,427500.0,0.0,0.0 
 07/02  02:30:00,427500.0,0.0,0.0 
 07/02  02:45:00,427500.0,0.0,0.0 
 07/02  03:00:00,427500.0,0.0,0.0 
 07/02  03:15:00,427500.0,0.0,0.0 
 07/02  03:30:00,427500.0,0.0,0.0 
 07/02  03:45:00,427500.0,0.0,0.0 
 07/02  04:00:00,427500.0,0.0,0.0 
 07/02  04:15:00,427500.0,0.0,0.0 
 07/02  04:30:00,427500.0,0.0,0.0 
 07/02  04:45:00,427500.0,0.0,0.0 
 07/02  05:00:00,427500.0,0.0,0.0 
 07/02  05:15:00,427500.0,0.0,0.0 
 07/02  05:30:00,427500.0,0.0,0.0 
 07/02  05:45:00,427500.0,0.0,0.0 
 07/02  06:00:00,427500.0,0.0,0.0 
 07/02  06:15:00,2115150.1415456845,1122269.0643154467,338740.06447950774 
 07/02  06:30:00,2138381.8666615253,1149301.7498101087,338740.06447950774 
 07/02  06:45:00,2136769.5658158427,1148876.091627197,338740.06447950774 
 07/02  07:00:00,2133376.8139443235,1148145.1551612567,338740.06447950774 
 07/02  07:15:00,2123229.4027753505,1141630.1287112786,338740.06447950774 
 07/02  07:30:00,2111830.4034122545,1134206.2197241315,338740.06447950774 
 07/02  07:45:00,2100832.289133353,1126962.9035095868,338740.06447950774 
 07/02  08:00:00,2090362.7340831514,1119753.9414376554,338740.06447950774 
 07/02  08:15:00,9560092.260266785,1141194.6526906602,338740.06447950774 
 07/02  08:30:00,9602901.464746775,1173241.494670936,338740.06447950774 
 07/02  08:45:00,9630978.079669889,1192207.3848574376,338740.06447950774 
 07/02  09:00:00,9668819.78955625,1219690.9567751281,338740.06447950774 
 07/02  09:15:00,12280986.708901597,1230887.1568157095,338740.06447950774 
 07/02  09:30:00,12305218.772150904,1243947.235182184,340423.752756458 
 07/02  09:45:00,12352095.093327504,1282784.258168934,342956.481586406 
 07/02  10:00:00,12407346.000210857,1324957.810395767,346253.3219304709 
 07/02  10:15:00,12899567.601769455,1464741.8229454472,351988.7057877515 
 07/02  10:30:00,13070327.914131496,1617590.9589023136,358180.23326741136 
 07/02  10:45:00,13247858.375300266,1778474.5959165448,364746.7689258694 
 07/02  11:00:00,13384857.569851784,1905867.5197625798,370470.11639930843 
 07/02  11:15:00,13051709.750748571,1906996.882016353,366371.3293204756 
 07/02  11:30:00,13163799.359131908,2005131.5599765643,370070.9880962997 
 07/02  11:45:00,13263058.52102372,2095830.3924465936,373511.7973309687 
 07/02  12:00:00,13342822.663187798,2169169.2134969207,376000.05445205676 
 07/02  12:15:00,12083948.98412162,1937463.333596429,359179.26441880065 
 07/02  12:30:00,11755113.335554674,1617410.2523365943,340583.63840072975 
 07/02  12:45:00,11820321.045915063,1676119.37036011,345091.2392883169 
 07/02  13:00:00,11851093.39006691,1704754.6934044044,345308.32470816845 
 07/02  13:15:00,12825250.67098698,1988577.9168922335,358795.4000162814 
 07/02  13:30:00,12919192.31778684,2077069.1978934545,362396.63204772654 
 07/02  13:45:00,12972957.400770942,2127523.354438886,363853.3005560299 
 07/02  14:00:00,13037615.026010916,2188531.4086300526,365642.7795148065 
 07/02  14:15:00,13354234.689285727,2276764.4487173846,370875.3657216209 
 07/02  14:30:00,13420509.158148699,2341201.074169669,374566.16743337363 
 07/02  14:45:00,13462095.693813864,2382208.672178037,376992.6691841182 
 07/02  15:00:00,13493746.922656953,2413750.999941026,378943.62151142623 
 07/02  15:15:00,12958284.96240473,2333886.4605806638,373371.4026871145 
 07/02  15:30:00,12957217.985182222,2332990.317419742,373475.6862529665 
 07/02  15:45:00,12982173.643780632,2356826.66498631,374957.37414608593 
 07/02  16:00:00,12993234.339894501,2367660.0410405714,375769.1648651658 
 07/02  16:15:00,11897082.06755558,2182539.3055034406,364739.71324373933 
 07/02  16:30:00,11891678.352604138,2177003.2467683577,364872.11984207615 
 07/02  16:45:00,11874753.219876258,2161156.7065474386,363793.70728637377 
 07/02  17:00:00,11825266.225092355,2114248.7318664766,361215.2211668292 
 07/02  17:15:00,11765021.6770016,2056670.2854017518,358338.7950862487 
 07/02  17:30:00,11695985.469715253,1990750.5347103854,355223.0602962108 
 07/02  17:45:00,11634853.885405775,1932207.8629690707,352634.79121038533 
 07/02  18:00:00,11572875.856540773,1872931.7497640639,350151.0002187936 
 07/02  18:15:00,7642286.417216424,1562628.2911828316,339735.1220832325 
 07/02  18:30:00,7514377.767038244,1444775.7971140193,339156.4684301688 
 07/02  18:45:00,7409198.030373973,1349171.6560779132,338740.06447950774 
 07/02  19:00:00,7326881.827860892,1275709.2120968273,338740.06447950774 
 07/02  19:15:00,4521353.748792004,1181475.105138686,338740.06447950774 
 07/02  19:30:00,4416769.43545854,1087760.7044187342,338740.06447950774 
 07/02  19:45:00,4318623.003331591,1000092.6965470437,338740.06447950774 
 07/02  20:00:00,4224397.185119004,915932.6217897972,338740.06447950774 
 07/02  20:15:00,1440000.0,0.0,0.0 
 07/02  20:30:00,1440000.0,0.0,0.0 
 07/02  20:45:00,1440000.0,0.0,0.0 
 07/02  21:00:00,1440000.0,0.0,0.0 
 07/02  21:15:00,427500.0,0.0,0.0 
 07/02  21:30:00,427500.0,0.0,0.0 
 07/02  21:45:00,427500.0,0.0,0.0 
 07/02  22:00:00,427500.0,0.0,0.0 
 07/02  22:15:00,427500.0,0.0,0.0 
 07/02  22:30:00,427500.0,0.0,0.0 
 07/02  22:45:00,427500.0,0.0,0.0 
 07/02  23:00:00,427500.0,0.0,0.0 
 07/02  23:15:00,427500.0,0.0,0.0 
 07/02  23:30:00,427500.0,0.0,0.0 
 07/02  23:45:00,427500.0,0.0,0.0 
 07/02  24:00:00,427500.0,0.0,0.0 
 07/03  00:15:00,427500.0,0.0,0.0 
 07/03  00:30:00,427500.0,0.0,0.0 
 07/03  00:45:00,427500.0,0.0,0.0 
 07/03  01:00:00,427500.0,0.0,0.0 
 07/03  01:15:00,427500.0,0.0,0.0 
 07/03  01:30:00,427500.0,0.0,0.0 
 07/03  01:45:00,427500.0,0.0,0.0 
 07/03  02:00:00,427500.0,0.0,0.0 
 07/03  02:15:00,427500.0,0.0,0.0 
 07/03  02:30:00,427500.0,0.0,0.0 
 07/03  02:45:00,427500.0,0.0,0.0 
 07/03  03:00:00,427500.0,0.0,0.0 
 07/03  03:15:00,427500.0,0.0,0.0 
 07/03  03:30:00,427500.0,0.0,0.0 
 07/03  03:45:00,427500.0,0.0,0.0 
 07/03  04:00:00,427500.0,0.0,0.0 
 07/03  04:15:00,427500.0,0.0,0.0 
 07/03  04:30:00,427500.0,0.0,0.0 
