step,day,minute_of_day,zone,zone_temp_c,radiant_temp_c,rh_pct,setpoint_c,occupied,pmv,ppd,comfort_enforced
30,1,472,SPACE5-1,21.525,19.803,12.85,nan,False,0.0,5.0,False
31,1,488,SPACE1-1,21.424,18.329,10.41,nan,False,0.0,5.0,False
31,1,488,SPACE2-1,22.189,19.245,8.55,nan,False,0.0,5.0,False
31,1,488,SPACE3-1,21.341,18.326,10.62,nan,False,0.0,5.0,False
31,1,488,SPACE4-1,22.04,18.797,8.49,nan,False,0.0,5.0,False
31,1,488,SPACE5-1,21.701,19.942,12.07,nan,False,0.0,5.0,False
32,1,495,SPACE1-1,21.668,18.553,9.92,nan,False,0.0,5.0,False
32,1,495,SPACE2-1,22.199,19.886,8.39,nan,False,0.0,5.0,False
32,1,495,SPACE3-1,21.569,18.531,10.13,nan,False,0.0,5.0,False
32,1,495,SPACE4-1,22.189,19.018,8.3,nan,False,0.0,5.0,False
32,1,495,SPACE5-1,21.861,20.072,11.57,nan,False,0.0,5.0,False
33,1,515,SPACE1-1,22.196,19.059,11.47,nan,True,-0.403,8.38,False
33,1,515,SPACE2-1,22.2,20.714,10.51,nan,True,-0.245,6.25,False
33,1,515,SPACE3-1,22.181,19.016,11.59,nan,True,-0.408,8.47,False
33,1,515,SPACE4-1,22.2,19.472,10.4,nan,True,-0.368,7.83,False
33,1,515,SPACE5-1,22.199,20.534,13.21,nan,True,-0.247,6.27,False
34,1,532,SPACE1-1,22.201,19.494,12.62,nan,True,-0.353,7.59,False
34,1,532,SPACE2-1,22.2,21.384,11.48,nan,True,-0.173,5.62,False
34,1,532,SPACE3-1,22.2,19.437,12.76,nan,True,-0.358,7.67,False
34,1,532,SPACE4-1,22.202,19.749,11.32,nan,True,-0.336,7.34,False
34,1,532,SPACE5-1,22.201,20.824,14.42,nan,True,-0.211,5.92,False
35,1,540,SPACE1-1,22.202,19.778,13.75,nan,True,-0.318,7.1,False
35,1,540,SPACE2-1,22.201,21.959,12.33,nan,True,-0.11,5.25,False
35,1,540,SPACE3-1,22.201,19.675,13.9,nan,True,-0.328,7.23,False
35,1,540,SPACE4-1,22.2,19.951,12.12,nan,True,-0.311,7.01,False
35,1,540,SPACE5-1,22.201,20.985,15.69,nan,True,-0.187,5.73,False
36,1,555,SPACE1-1,22.204,20.038,15.27,nan,True,-0.283,6.67,False
36,1,555,SPACE2-1,22.2,22.464,13.36,nan,True,-0.053,5.06,False
36,1,555,SPACE3-1,22.203,19.866,15.47,nan,True,-0.299,6.86,False
36,1,555,SPACE4-1,22.201,20.121,13.06,nan,True,-0.289,6.73,False
36,1,555,SPACE5-1,22.201,21.114,17.54,nan,True,-0.163,5.55,False
37,1,578,SPACE1-1,22.202,20.321,16.53,nan,True,-0.248,6.28,False
37,1,578,SPACE2-1,22.641,22.956,13.64,nan,True,0.045,5.04,False
37,1,578,SPACE3-1,22.202,20.066,16.76,nan,True,-0.272,6.54,False
37,1,578,SPACE4-1,22.203,20.304,13.73,nan,True,-0.266,6.47,False
37,1,578,SPACE5-1,22.398,21.273,18.87,nan,True,-0.119,5.29,False
38,1,592,SPACE1-1,22.201,20.588,17.47,nan,True,-0.216,5.97,False
38,1,592,SPACE2-1,23.125,23.489,13.85,nan,True,0.151,5.47,False
38,1,592,SPACE3-1,22.203,20.228,17.75,nan,True,-0.25,6.3,False
38,1,592,SPACE4-1,22.201,20.457,14.16,nan,True,-0.249,6.28,False
38,1,592,SPACE5-1,22.613,21.446,20.04,nan,True,-0.071,5.1,False
39,1,608,SPACE1-1,22.201,20.824,18.19,nan,True,-0.188,5.74,False
39,1,608,SPACE2-1,23.476,23.925,14.11,nan,True,0.234,6.14,False
39,1,608,SPACE3-1,22.202,20.358,18.51,nan,True,-0.233,6.12,False
39,1,608,SPACE4-1,22.202,20.576,14.49,nan,True,-0.235,6.15,False
39,1,608,SPACE5-1,22.722,21.582,21.12,nan,True,-0.039,5.03,False
40,1,615,SPACE1-1,22.203,21.067,18.61,nan,True,-0.162,5.54,False
40,1,615,SPACE2-1,23.765,24.291,14.26,nan,True,0.303,6.91,False
40,1,615,SPACE3-1,22.202,20.473,18.95,nan,True,-0.219,5.99,False
40,1,615,SPACE4-1,22.202,20.688,14.67,nan,True,-0.223,6.03,False
40,1,615,SPACE5-1,22.803,21.701,21.82,nan,True,-0.014,5.0,False
41,1,630,SPACE1-1,22.201,21.315,19.12,nan,True,-0.134,5.37,False
41,1,630,SPACE2-1,23.883,24.6,14.43,nan,True,0.348,7.52,False
41,1,630,SPACE3-1,22.204,20.59,19.49,nan,True,-0.204,5.86,False
41,1,630,SPACE4-1,22.2,20.797,14.98,nan,True,-0.21,5.92,False
41,1,630,SPACE5-1,22.9,21.804,22.63,nan,True,0.012,5.0,False
42,1,645,SPACE1-1,22.2,21.568,19.65,nan,True,-0.106,5.23,False
42,1,645,SPACE2-1,23.897,24.824,14.51,nan,True,0.373,7.9,False
42,1,645,SPACE3-1,22.203,20.692,20.04,nan,True,-0.19,5.75,False
42,1,645,SPACE4-1,22.201,20.892,15.42,nan,True,-0.198,5.81,False
42,1,645,SPACE5-1,23.018,21.909,23.35,nan,True,0.04,5.03,False
43,1,660,SPACE1-1,22.3,21.83,20.07,nan,True,-0.066,5.09,False
43,1,660,SPACE2-1,23.899,24.902,14.6,nan,True,0.382,8.04,False
43,1,660,SPACE3-1,22.203,20.8,20.59,nan,True,-0.176,5.64,False
43,1,660,SPACE4-1,22.202,20.995,15.92,nan,True,-0.185,5.71,False
43,1,660,SPACE5-1,23.13,22.0,24.05,nan,True,0.065,5.09,False
44,1,675,SPACE1-1,22.508,22.09,20.36,nan,True,-0.016,5.01,False
44,1,675,SPACE2-1,23.899,24.901,14.79,nan,True,0.383,8.06,False
44,1,675,SPACE3-1,22.202,20.905,21.14,nan,True,-0.163,5.55,False
44,1,675,SPACE4-1,22.203,21.096,16.43,nan,True,-0.172,5.61,False
44,1,675,SPACE5-1,23.24,22.096,24.71,nan,True,0.091,5.17,False
45,1,690,SPACE1-1,22.639,22.285,20.41,nan,True,0.018,5.01,False
45,1,690,SPACE2-1,23.899,24.795,14.88,nan,True,0.373,7.9,False
45,1,690,SPACE3-1,22.201,20.968,21.32,nan,True,-0.155,5.5,False
45,1,690,SPACE4-1,22.201,21.159,16.57,nan,True,-0.165,5.56,False
45,1,690,SPACE5-1,23.24,22.151,25.16,nan,True,0.1,5.21,False
46,1,705,SPACE1-1,22.785,22.509,20.29,nan,True,0.056,5.06,False
46,1,705,SPACE2-1,23.899,24.687,15.03,nan,True,0.363,7.74,False
46,1,705,SPACE3-1,22.202,21.049,21.31,nan,True,-0.147,5.45,False
46,1,705,SPACE4-1,22.201,21.238,16.56,nan,True,-0.157,5.51,False
46,1,705,SPACE5-1,23.248,22.204,25.36,nan,True,0.107,5.24,False
47,1,720,SPACE1-1,22.93,22.635,20.18,nan,True,0.083,5.14,False
47,1,720,SPACE2-1,23.899,24.462,15.34,nan,True,0.342,7.43,False
47,1,720,SPACE3-1,22.202,21.108,21.29,nan,True,-0.142,5.41,False
47,1,720,SPACE4-1,22.203,21.298,16.59,nan,True,-0.15,5.47,False
47,1,720,SPACE5-1,23.289,22.244,25.44,nan,True,0.116,5.28,False
48,1,735,SPACE1-1,23.002,22.645,20.24,nan,True,0.093,5.18,False
