step,day,minute_of_day,zone,zone_temp_c,radiant_temp_c,rh_pct,setpoint_c,occupied,pmv,ppd,comfort_enforced
34,1,527,SPACE1-1,21.029,18.451,12.34,21.0,True,-0.579,12.03,False
34,1,527,SPACE2-1,21.429,20.715,11.44,21.0,True,-0.32,7.13,False
34,1,527,SPACE3-1,20.988,18.397,12.49,21.0,True,-0.588,12.25,False
34,1,527,SPACE4-1,21.132,18.612,10.92,21.0,True,-0.561,11.59,False
34,1,527,SPACE5-1,21.171,20.341,15.23,21.0,True,-0.363,7.74,False
35,1,548,SPACE1-1,21.001,19.21,13.8,21.0,True,-0.5,10.22,False
35,1,548,SPACE2-1,21.49,21.384,12.26,21.0,True,-0.242,6.22,False
35,1,548,SPACE3-1,21.001,19.106,13.96,21.0,True,-0.509,10.42,False
35,1,548,SPACE4-1,21.006,19.293,12.18,21.0,True,-0.5,10.23,False
35,1,548,SPACE5-1,21.324,20.542,15.88,21.0,True,-0.323,7.17,False
36,1,555,SPACE1-1,21.001,19.429,14.77,21.0,True,-0.473,9.68,False
36,1,555,SPACE2-1,21.59,21.975,12.86,21.0,True,-0.169,5.59,False
36,1,555,SPACE3-1,21.001,19.255,14.95,21.0,True,-0.489,10.0,False
36,1,555,SPACE4-1,21.003,19.442,12.87,21.0,True,-0.482,9.86,False
36,1,555,SPACE5-1,21.407,20.7,16.91,21.0,True,-0.293,6.78,False
37,1,575,SPACE1-1,21.001,19.73,16.07,21.0,True,-0.436,8.97,False
37,1,575,SPACE2-1,22.245,22.52,13.07,21.0,True,-0.044,5.04,False
37,1,575,SPACE3-1,21.001,19.471,16.29,21.0,True,-0.461,9.43,False
37,1,575,SPACE4-1,21.001,19.65,13.69,21.0,True,-0.457,9.37,False
37,1,575,SPACE5-1,21.834,20.875,17.84,21.0,True,-0.225,6.05,False
38,1,592,SPACE1-1,21.001,19.994,16.68,21.0,True,-0.407,8.45,False
38,1,592,SPACE2-1,22.759,23.14,13.28,21.0,True,0.074,5.11,False
38,1,592,SPACE3-1,21.001,19.636,16.91,21.0,True,-0.441,9.06,False
38,1,592,SPACE4-1,21.001,19.81,14.03,21.0,True,-0.44,9.04,False
38,1,592,SPACE5-1,22.178,21.13,18.46,21.0,True,-0.159,5.52,False
39,1,608,SPACE1-1,21.001,20.246,17.55,21.0,True,-0.377,7.96,False
39,1,608,SPACE2-1,23.2,23.604,13.69,21.0,True,0.17,5.6,False
39,1,608,SPACE3-1,21.001,19.771,17.83,21.0,True,-0.423,8.72,False
39,1,608,SPACE4-1,21.0,19.941,14.46,21.0,True,-0.425,8.76,False
39,1,608,SPACE5-1,22.406,21.297,19.67,21.0,True,-0.11,5.25,False
40,1,622,SPACE1-1,21.081,20.485,18.1,21.0,True,-0.342,7.43,False
40,1,622,SPACE2-1,23.509,24.009,14.0,21.0,True,0.245,6.25,False
40,1,622,SPACE3-1,21.001,19.89,18.52,21.0,True,-0.407,8.45,False
40,1,622,SPACE4-1,21.0,20.055,14.76,21.0,True,-0.412,8.53,False
40,1,622,SPACE5-1,22.516,21.44,20.75,21.0,True,-0.078,5.13,False
41,1,630,SPACE1-1,21.298,20.815,18.34,21.0,True,-0.285,6.68,False
41,1,630,SPACE2-1,23.808,24.356,14.21,21.0,True,0.314,7.05,False
41,1,630,SPACE3-1,21.001,20.012,18.98,21.0,True,-0.392,8.21,False
41,1,630,SPACE4-1,21.003,20.169,15.01,21.0,True,-0.399,8.31,False
41,1,630,SPACE5-1,22.637,21.571,21.44,21.0,True,-0.047,5.05,False
42,1,645,SPACE1-1,21.593,21.132,18.62,21.0,True,-0.22,6.0,False
42,1,645,SPACE2-1,23.888,24.624,14.46,21.0,True,0.351,7.57,False
42,1,645,SPACE3-1,21.0,20.115,19.58,21.0,True,-0.379,7.99,False
42,1,645,SPACE4-1,21.001,20.268,15.44,21.0,True,-0.387,8.12,False
42,1,645,SPACE5-1,22.768,21.679,22.29,21.0,True,-0.017,5.01,False
43,1,668,SPACE1-1,21.884,21.462,18.93,21.0,True,-0.154,5.49,False
43,1,668,SPACE2-1,23.899,24.736,14.68,21.0,True,0.366,7.78,False
43,1,668,SPACE3-1,21.0,20.227,20.23,21.0,True,-0.364,7.76,False
43,1,668,SPACE4-1,21.001,20.373,16.02,21.0,True,-0.373,7.9,False
